text,label
has Bayer purchased starch,F8_EVIDENCE
100 MT dextrose suppliers,F3_VOLUME
50 ton sugar suppliers,F3_VOLUME
500 kg cotton exporters,F3_VOLUME
1000 metric ton wheat,F3_VOLUME
I need 200 MT lactose monohydrate,F3_VOLUME
looking for 50 MT palm oil,F3_VOLUME
suppliers for 300 metric tons of rice,F3_VOLUME
buy 150 MT citric acid,F3_VOLUME
500 ton sodium chloride shipment,F3_VOLUME
need 1000 MT maize starch,F3_VOLUME
purchase 75 MT whey protein concentrate,F3_VOLUME
250 metric tons sucrose suppliers,F3_VOLUME
2000 MT glucose syrup per month,F3_VOLUME
I need 100 MT starch,F3_VOLUME
order 500 tons palm kernel oil,F3_VOLUME
looking for 20 MT soy lecithin,F3_VOLUME
want to buy 400 MT cotton,F3_VOLUME
supply of 600 MT tapioca starch,F3_VOLUME
500 kg sorbitol supplier,F3_VOLUME
3000 MT sugar cane supplier,F3_VOLUME
20 MT xanthan gum suppliers,F3_VOLUME
100 MT calcium carbonate,F3_VOLUME
need 800 MT canola oil,F3_VOLUME
1500 tons sunflower oil order,F3_VOLUME
500 MT wheat flour required,F3_VOLUME
looking for 50 ton pectin,F3_VOLUME
50 metric tons casein,F3_VOLUME
need 2000 MT rice starch,F3_VOLUME
supply 100 metric tons maltodextrin,F3_VOLUME
1000 MT maize import required,F3_VOLUME
dextrose under $400/MT,F4_PRICE
sugar above $350,F4_PRICE
cotton below $1.20/kg,F4_PRICE
cheap wheat suppliers,F4_PRICE
expensive rice buyers,F4_PRICE
lactose monohydrate below $800 per MT,F4_PRICE
palm oil under $1200/MT,F4_PRICE
glucose syrup priced above $300,F4_PRICE
starch cheaper than $200/MT,F4_PRICE
citric acid below $1500 per ton,F4_PRICE
sodium chloride under $150/MT,F4_PRICE
wheat flour cheap suppliers under $400,F4_PRICE
maize above $220 per metric ton,F4_PRICE
sucrose suppliers priced below $600,F4_PRICE
affordable lactose exporters,F4_PRICE
find dextrose anhydrous cheaper than $380,F4_PRICE
palm kernel oil above $900,F4_PRICE
casein protein below $8000 per MT,F4_PRICE
sorbitol under $600/MT,F4_PRICE
whey protein cheaper than $3000,F4_PRICE
best priced tapioca starch below $200,F4_PRICE
xanthan gum below $4000 per MT,F4_PRICE
guar gum above $700/MT buyers,F4_PRICE
sunflower oil cheaper than $1100 per ton,F4_PRICE
canola oil under $1000/MT,F4_PRICE
soy lecithin below $1500,F4_PRICE
affordable pectin suppliers,F4_PRICE
maltodextrin priced under $500 per MT,F4_PRICE
calcium carbonate below $200/MT,F4_PRICE
starch exporters paying above $250/ton,F4_PRICE
Q1 2024 sugar suppliers,F5_TIME
last 6 months cotton,F5_TIME
2023 dextrose,F5_TIME
recent wheat buyers,F5_TIME
this year palm oil,F5_TIME
suppliers active in 2024,F5_TIME
recent 6 months lactose monohydrate exporters,F5_TIME
2023 Q2 sodium chloride,F5_TIME
last year citric acid imports,F5_TIME
this quarter dextrose shipments,F5_TIME
Q3 2024 sugar exporters,F5_TIME
last 3 months maize starch,F5_TIME
most recent palm kernel oil buyers,F5_TIME
2024 starch suppliers active,F5_TIME
recent shipments of glucose syrup,F5_TIME
active in last year tapioca starch,F5_TIME
2024 lactose powder suppliers,F5_TIME
current year wheat flour exporters,F5_TIME
last 12 months casein buyers,F5_TIME
Q4 2023 sucrose suppliers,F5_TIME
recently active soy lecithin exporters,F5_TIME
2024 Q1 sunflower oil,F5_TIME
last 6 months sorbitol suppliers,F5_TIME
recent calcium carbonate imports,F5_TIME
2023 xanthan gum buyers,F5_TIME
active suppliers this year for guar gum,F5_TIME
last quarter maltodextrin buyers,F5_TIME
recent Q2 2024 pectin suppliers,F5_TIME
canola oil shipments last 6 months,F5_TIME
most recent cocoa butter deals in 2024,F5_TIME
looking for buyers of our maize starch,SELL
which companies purchase starch,SELL
I want to sell glucose syrup,SELL
find buyers for calcium carbonate,SELL
who will purchase our soy lecithin,SELL
need customers for our sunflower oil,SELL
find importers of our guar gum,SELL
top 5 citric acid buyers by volume,F6_TOPK
best 3 starch importers worldwide,F6_TOPK
top ranked sodium chloride buyers,F6_TOPK
recommend top 5 maize starch suppliers,F6_TOPK
best paying glucose buyers,F6_TOPK
highest ranked pectin importers,F6_TOPK
top 10 tapioca starch sellers,F6_TOPK
recommend best sorbitol suppliers,F6_TOPK
top buyers of calcium carbonate by volume,F6_TOPK
best 5 canola oil sellers globally,F6_TOPK
global markets for starch products,F7_COMPARE
compare calcium carbonate demand by region,F7_COMPARE
which country exports most glucose syrup,F7_COMPARE
import sources for sorbitol by country,F7_COMPARE
country comparison of pectin demand,F7_COMPARE
where do buyers of canola oil come from,F7_COMPARE
which countries are top tapioca importers,F7_COMPARE
compare market demand for soy lecithin by country,F7_COMPARE
top importing countries for xanthan gum,F7_COMPARE
country analysis for maize starch exports,F7_COMPARE
has Nestle imported dextrose anhydrous,F8_EVIDENCE
shipments of lactose to Reckitt Benckiser,F8_EVIDENCE
evidence of palm oil purchases by Procter and Gamble,F8_EVIDENCE
transaction record for Rafhan Maize Products,F8_EVIDENCE
verify starch imports by Colgate Palmolive,F8_EVIDENCE
history of glucose purchases by Fauji Foods,F8_EVIDENCE
did Quaker Oats buy wheat starch,F8_EVIDENCE
past deals for Ghandara Industries,F8_EVIDENCE
has Dawlance purchased calcium carbonate,F8_EVIDENCE
verification of sorbitol deals by Brooke Bond,F8_EVIDENCE
I need 350 MT glucose syrup,F3_VOLUME
supply 450 metric tons starch,F3_VOLUME
need 60 MT tapioca starch per shipment,F3_VOLUME
looking for 900 MT sunflower oil,F3_VOLUME
order 120 MT guar gum,F3_VOLUME
want 250 MT pectin,F3_VOLUME
buy 700 MT sorbitol,F3_VOLUME
2500 MT palm kernel oil required,F3_VOLUME
need 80 tons xanthan gum,F3_VOLUME
supply 1800 MT canola oil order,F3_VOLUME
tapioca starch below $180 per MT,F4_PRICE
glucose syrup priced under $500,F4_PRICE
sorbitol above $400 per ton,F4_PRICE
affordable guar gum under $900 per MT,F4_PRICE
cocoa butter below $4000/MT,F4_PRICE
cheap starch exporters,F4_PRICE
maize above $200/MT buyers,F4_PRICE
pectin cheaper than $6000 per MT,F4_PRICE
find soy lecithin above $1200 per ton,F4_PRICE
casein below $7000/MT,F4_PRICE
active this year palm kernel oil suppliers,F5_TIME
recent 2024 glucose importers,F5_TIME
last 6 months sorbitol exports,F5_TIME
2023 guar gum shipments,F5_TIME
active last quarter starch suppliers,F5_TIME
Q2 2024 tapioca starch buyers,F5_TIME
recent pectin buyers in 2024,F5_TIME
2023 Q4 calcium carbonate,F5_TIME
last 6 months maize starch activity,F5_TIME
current year soy lecithin importers,F5_TIME
